2014-09-22 21:46:09: -- TVSite m mobile: ANALYSIS started by User on 'mike’s MacBook Pro' (GoodSync 4.3.7.0)
2014-09-22 21:46:09: /code/hey/tv styles/smarty0_mobile =NoPropDels=> ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile, NoWaitForLocks, UberUnlockedUpload, CopyCreateTime
2014-09-22 21:46:09: L: State file does not exist: /code/hey/tv styles/smarty0_mobile/_gsdata_/_file_state._gs
2014-09-22 21:46:09: L: No State File found, New State will be built
2014-09-22 21:46:09: L: Files: 106 (excluded 0). Folders: 14 (excluded 0). /dev/disk0s2 HFS, Free: 46.1 GB, Total: 465.0 GB
2014-09-22 21:46:10: R: State file does not exist: ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/_gsdata_/_file_state._gs
2014-09-22 21:46:16: R: No State File found, New State will be built
2014-09-22 21:46:16: R: Files: 106 (excluded 0). Folders: 14 (excluded 0). FTP: FTP Server ready.
2014-09-22 21:46:16: Changes: 106, Conflicts: 0, CopyTime: 0, CopyState: 0/14, Errors: 0
2014-09-22 21:46:16: Left to Right: Copy File: 106 
2014-09-22 21:46:16: -- Analysis Completed. Time 00:00:07, Speed: 17 files/s
2014-09-22 21:46:16: 
2014-09-22 21:47:00: New _gsdata_ folder(s) created, so rescan all job folders for their ghosts
2014-09-22 21:47:00: == TVSite m mobile: SYNC started by User on 'mike’s MacBook Pro'
2014-09-22 21:47:00: /code/hey/tv styles/smarty0_mobile =NoPropDels=> ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile, NoWaitForLocks, UberUnlockedUpload, CopyCreateTime
2014-09-22 21:47:00: Delete Analysis results of the jobs that intersect with this job: TVSite CSS
2014-09-22 21:47:03: Copy Over '/code/hey/tv styles/smarty0_mobile/advancedsearch.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/advancedsearch.tpl'
2014-09-22 21:47:04: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/bonus_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/bonus_item.tpl'
2014-09-22 21:47:05: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/bonuscontent.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/bonuscontent.tpl'
2014-09-22 21:47:06: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/bonusindex.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/bonusindex.tpl'
2014-09-22 21:47:07: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/bonustable.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/bonustable.tpl'
2014-09-22 21:47:08: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/pagenav.tpl'
2014-09-22 21:47:09: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/showbonus.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/showbonus.tpl'
2014-09-22 21:47:10: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/showstory.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/showstory.tpl'
2014-09-22 21:47:11: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus/story_cell.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus/story_cell.tpl'
2014-09-22 21:47:12: Copy Over '/code/hey/tv styles/smarty0_mobile/bonus.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/bonus.tpl'
2014-09-22 21:47:13: Copy Over '/code/hey/tv styles/smarty0_mobile/category/category_inside.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/category/category_inside.tpl'
2014-09-22 21:47:14: Copy Over '/code/hey/tv styles/smarty0_mobile/category/category_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/category/category_item.tpl'
2014-09-22 21:47:15: Copy Over '/code/hey/tv styles/smarty0_mobile/category/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/category/pagenav.tpl'
2014-09-22 21:47:16: Copy Over '/code/hey/tv styles/smarty0_mobile/category.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/category.tpl'
2014-09-22 21:47:18: Copy Over '/code/hey/tv styles/smarty0_mobile/category_outside/category_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/category_outside/category_item.tpl'
2014-09-22 21:47:19: Copy Over '/code/hey/tv styles/smarty0_mobile/category_outside/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/category_outside/pagenav.tpl'
2014-09-22 21:47:20: Copy Over '/code/hey/tv styles/smarty0_mobile/category_outside.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/category_outside.tpl'
2014-09-22 21:47:21: Copy Over '/code/hey/tv styles/smarty0_mobile/config/static.conf' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/config/static.conf'
2014-09-22 21:47:22: Copy Over '/code/hey/tv styles/smarty0_mobile/config/static.tour.conf' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/config/static.tour.conf'
2014-09-22 21:47:23: Copy Over '/code/hey/tv styles/smarty0_mobile/config/static.trial.conf' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/config/static.trial.conf'
2014-09-22 21:47:24: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds/dvd1.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds/dvd1.tpl'
2014-09-22 21:47:25: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds/dvd_index.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds/dvd_index.tpl'
2014-09-22 21:47:26: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds/dvd_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds/dvd_item.tpl'
2014-09-22 21:47:27: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds/pagenav.tpl'
2014-09-22 21:47:28: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds/scene_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds/scene_item.tpl'
2014-09-22 21:47:29: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds.tpl'
2014-09-22 21:47:31: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds_outside/dvd1.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds_outside/dvd1.tpl'
2014-09-22 21:47:32: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds_outside/dvd_index.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds_outside/dvd_index.tpl'
2014-09-22 21:47:32: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds_outside/dvd_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds_outside/dvd_item.tpl'
2014-09-22 21:47:33: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds_outside/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds_outside/pagenav.tpl'
2014-09-22 21:47:35: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds_outside/scene_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds_outside/scene_item.tpl'
2014-09-22 21:47:36: Copy Over '/code/hey/tv styles/smarty0_mobile/dvds_outside.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/dvds_outside.tpl'
2014-09-22 21:47:37: Copy Over '/code/hey/tv styles/smarty0_mobile/error.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/error.tpl'
2014-09-22 21:47:38: Copy Over '/code/hey/tv styles/smarty0_mobile/gallery/gallery1.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/gallery/gallery1.tpl'
2014-09-22 21:47:39: Copy Over '/code/hey/tv styles/smarty0_mobile/gallery/gallery_showlink.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/gallery/gallery_showlink.tpl'
2014-09-22 21:47:40: Copy Over '/code/hey/tv styles/smarty0_mobile/gallery/gallerynav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/gallery/gallerynav.tpl'
2014-09-22 21:47:41: Copy Over '/code/hey/tv styles/smarty0_mobile/gallery/showthumb.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/gallery/showthumb.tpl'
2014-09-22 21:47:42: Copy Over '/code/hey/tv styles/smarty0_mobile/gallery/vid-link.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/gallery/vid-link.tpl'
